Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR13362842_1	SRR13362842_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	949340.0	0.0	35-151	50.0	74.03016766262415	148.9099469104852	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13362842_2	SRR13362842_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	949340.0	0.0	35-151	51.0	74.6160290953118	148.92363010091222	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR13362843_1	SRR13362843_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1414821.0	0.0	35-151	50.0	67.0735296867803	149.19969734687285	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass
SRR13362843_2	SRR13362843_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1414821.0	0.0	35-151	50.0	69.82704593883375	149.21940089947773	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass
SRR1508893_1	SRR1508893_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1444637.0	0.0	100.0	50.0	95.50929294540353	100.0	pass	pass		pass	pass	warn	pass	pass	pass	pass	pass
SRR1508893_2	SRR1508893_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1444637.0	0.0	100.0	50.0	95.73559885064655	100.0	pass	fail		pass	warn	warn	pass	pass	pass	pass	pass
SRR1508895_1	SRR1508895_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1538149.0	0.0	100.0	50.0	94.33667459435605	100.0	pass	pass		pass	fail	warn	pass	pass	pass	pass	pass
SRR1508895_2	SRR1508895_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1538149.0	0.0	100.0	50.0	94.74743202741129	100.0	pass	fail		pass	fail	warn	pass	pass	pass	pass	pass
SRR3095388_1	SRR3095388_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1394933.0	0.0	35-251	50.0	61.089337818221125	233.94422886260486	pass	pass		pass	warn	warn	pass	warn	warn	pass	pass
SRR3095388_2	SRR3095388_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1394933.0	0.0	35-251	51.0	65.34913278010524	236.11573028955513	pass	fail		pass	fail	warn	pass	warn	warn	pass	pass
SRR3098780_1	SRR3098780_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3049240.0	0.0	35-151	51.0	46.212754571993464	149.3510317324973	pass	pass		pass	fail	warn	pass	warn	fail	pass	pass
SRR3098780_2	SRR3098780_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3049240.0	0.0	35-151	51.0	52.59384428219968	149.38836759323635	pass	pass		pass	fail	warn	pass	warn	warn	warn	pass
SRR3466175_1	SRR3466175_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7918790.0	0.0	35-75	50.0	77.0201522082968	72.38074289127506	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR3466175_2	SRR3466175_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7918790.0	0.0	35-75	50.0	70.8030358898872	72.3026570978647	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR3574326_1	SRR3574326_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1689347.0	0.0	50-100	50.0	70.18082412729363	98.37720492000756	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR3574326_2	SRR3574326_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1689347.0	0.0	50-100	50.0	71.57607784509736	97.44040626348524	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass
SRR3929024_1	SRR3929024_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1396899.0	0.0	35-301	50.0	92.71000285180038	261.23415508207825	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass
SRR3929024_2	SRR3929024_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1396899.0	0.0	35-301	50.0	92.60176873331109	266.3963028107258	pass	fail		pass	fail	warn	pass	warn	pass	pass	pass
SRR3951679_1	SRR3951679_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7918790.0	0.0	35-75	50.0	77.0201522082968	72.38074289127506	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR3951679_2	SRR3951679_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	7918790.0	0.0	35-75	50.0	70.8030358898872	72.3026570978647	pass	pass		pass	fail	warn	pass	warn	pass	pass	pass
SRR3957125_1	SRR3957125_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3767447.0	0.0	35-151	50.0	66.25399656149776	116.69494010134714	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass
SRR3957125_2	SRR3957125_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3767447.0	0.0	35-151	50.0	67.89279104864244	117.33979243769056	pass	pass		pass	fail	warn	pass	warn	warn	pass	pass
